sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
satellites2-40__partner__s0.json.gz,satellites2-40.mps.gz,C0,0,True,0.0,0.0,1.616879469818539e-12,28.0,28.0,0.0,0
seymour1__cpu__s0.json.gz,seymour1.mps.gz,H1,0,True,0.0,0.0,2.4091839634365897e-14,410.7637013945249,410.7637013945249,0.0,0
seymour1__partner__s0.json.gz,seymour1.mps.gz,C0,0,True,2.8807667188061737e-15,2.3175654287876836e-15,4.574118861455645e-14,411.1951836302252,411.1951836302252,0.0,0
seymour__cpu__s0.json.gz,seymour.mps.gz,H1,0,True,5.329070518200751e-15,5.329070518200751e-15,8.881784197001252e-15,427.0,427.0,0.0,0
seymour__partner__s0.json.gz,seymour.mps.gz,C0,0,True,0.0,1.1102230246251565e-16,1.1102230246251565e-16,429.0,429.0,0.0,0
sing326__cpu__s0.json.gz,sing326.mps.gz,H1,0,True,0.0,0.0,1.5948772520831343e-16,20652331.068939164,20652331.068939164,0.0,0
sing326__partner__s0.json.gz,sing326.mps.gz,C0,0,True,6.106502112857015e-07,0.0,5.646770517842015e-07,103888233.26496069,103888233.26496069,0.0,0
snp-02-004-104__cpu__s0.json.gz,snp-02-004-104.mps.gz,H1,0,True,5.684341886080802e-14,2.8421709430404007e-13,5.820766091346741e-11,586814614.4294833,586814614.4294833,0.0,0
snp-02-004-104__partner__s0.json.gz,snp-02-004-104.mps.gz,C0,0,True,4.547473508864641e-13,0.0,5.820766091346741e-11,1228265446.0206904,1228265446.0206904,0.0,0
sorrell3__cpu__s0.json.gz,sorrell3.mps.gz,H1,0,True,0.0,0.0,0.0,-13.0,-13.0,0.0,0
sorrell3__partner__s0.json.gz,sorrell3.mps.gz,C0,0,True,0.0,0.0,0.0,-16.0,-16.0,0.0,0
sp150x300d__cpu__s0.json.gz,sp150x300d.mps.gz,H1,0,True,1.4210854715202004e-14,1.5543122344752192e-15,0.0,69.0,69.0,0.0,0
sp150x300d__partner__s0.json.gz,sp150x300d.mps.gz,C0,0,True,0.0,2.162714451969805e-13,2.6290081223123707e-10,68.99999999999957,68.99999999999957,0.0,0
sp98ar__cpu__s0.json.gz,sp98ar.mps.gz,H1,0,True,9.379164112033317e-15,2.7977620220553945e-14,2.4980018054066022e-14,538828937.9200001,538828937.9200001,0.0,0
sp98ar__partner__s0.json.gz,sp98ar.mps.gz,C0,0,True,0.0,1.1102230246251565e-16,1.7763568394002506e-16,641599061.28,641599061.2800001,1.8580028672884412e-16,0
supportcase18__cpu__s0.json.gz,supportcase18.mps.gz,H1,0,True,0.0,1.2927101032946356e-14,2.220446049250313e-16,49.0,49.0,0.0,0
supportcase18__partner__s0.json.gz,supportcase18.mps.gz,C0,0,True,0.0,0.0,0.0,51.0,51.0,0.0,0
supportcase26__cpu__s0.json.gz,supportcase26.mps.gz,H1,0,True,0.0,0.0,7.105427357601002e-15,1793.7413531041705,1793.7413531041705,0.0,0
supportcase26__partner__s0.json.gz,supportcase26.mps.gz,C0,0,False,0.0,0.0,4.850712504312783e-05,1776.5186163058545,1776.5186163058547,1.2798834380696758e-16,0
supportcase42__cpu__s0.json.gz,supportcase42.mps.gz,H1,0,True,0.0,2.842170943040401e-14,9.22525944524466e-15,7.995585560640371,7.995585560640371,0.0,0
supportcase42__partner__s0.json.gz,supportcase42.mps.gz,C0,0,True,0.0,0.0,4.8433479449272454e-15,11.490000292806602,11.4900002928066,1.5460024317948467e-16,0
swath3__cpu__s0.json.gz,swath3.mps.gz,H1,0,True,5.841993555577583e-13,7.3430150848707e-14,2.2026824808563106e-13,397.76134364999797,397.76134364999797,0.0,0
swath3__partner__s0.json.gz,swath3.mps.gz,C0,0,True,4.59684126485222e-11,1.3952172655605483e-11,2.3491764089556e-11,397.76134364996074,397.76134364996074,0.0,0
timtab1__cpu__s0.json.gz,timtab1.mps.gz,H1,0,True,2.6645352591003853e-13,1.554312234475219e-14,1.3752440046969681e-14,764771.9999997794,764771.9999997794,0.0,0
timtab1__partner__s0.json.gz,timtab1.mps.gz,C0,0,True,7.993605777301127e-15,5.995204332975845e-15,4.121147867408581e-13,880382.9999995996,880382.9999995996,0.0,0
tr12-30__cpu__s0.json.gz,tr12-30.mps.gz,H1,0,True,3.055333763768431e-12,1.9984014443252818e-14,1.1545819073893346e-11,130610.0,130610.0,0.0,0
tr12-30__partner__s0.json.gz,tr12-30.mps.gz,C0,0,True,0.0,2.859268377619628e-12,9.789226219759763e-12,131970.99999999866,131970.99999999866,0.0,0
traininstance6__cpu__s0.json.gz,traininstance6.mps.gz,H1,0,True,1.2034817586936697e-13,3.567183739505708e-07,6.235759312040513e-08,28289.99999964328,28289.99999964328,0.0,0
traininstance6__partner__s0.json.gz,traininstance6.mps.gz,C0,0,True,0.0,0.0,0.0,29170.0,29170.0,0.0,0
uccase12__cpu__s0.json.gz,uccase12.mps.gz,H1,0,True,3.4274676957822966e-12,9.067191442113653e-13,1.028240308734689e-11,11507.405061635,11507.405061635,0.0,0
uccase12__partner__s0.json.gz,uccase12.mps.gz,C0,0,True,0.0,0.0,2.842170943040401e-14,1381938.5928315986,1381938.5928315986,0.0,0
